year,solver,track,instances,answer,cpu-time,score
2017,argmat-clpb,DS-CO,C/2/ER_300_10_6.tgf,none,1199.98,0
2017,argmat-clpb,DS-CO,C/2/ER_300_20_7.tgf,none,1201,0
2017,argmat-clpb,DS-CO,C/2/ER_400_20_8.tgf,none,1200.85,0
2017,argmat-clpb,DS-CO,C/2/ER_500_100_2.tgf,none,1200.76,0
2017,argmat-clpb,DS-CO,C/2/ER_500_20_4.tgf,none,1200.71,0
2017,argmat-clpb,DS-CO,C/2/ER_500_30_7.tgf,none,1200.23,0
2017,argmat-clpb,DS-CO,C/2/WS_300_24_50_10.tgf,none,1199.93,0
2017,argmat-clpb,DS-CO,C/2/WS_300_24_70_10.tgf,none,1200.07,0
2017,argmat-clpb,DS-CO,C/2/WS_300_24_90_10.tgf,none,1200.69,0
2017,argmat-clpb,DS-CO,C/2/WS_300_32_90_10.tgf,none,1200.62,0
2017,argmat-clpb,DS-CO,C/2/WS_500_16_50_70.tgf,none,1200.05,0
2017,argmat-clpb,DS-CO,C/2/WS_500_16_70_50.tgf,none,1200.69,0
2017,argmat-clpb,DS-CO,C/2/admbuster_50000.tgf,none,2.06,0
2017,argmat-clpb,DS-CO,C/2/afinput_exp_acyclic_depvary_step6_batch_yyy05.tgf,none,1200.45,0
2017,argmat-clpb,DS-CO,C/2/afinput_exp_acyclic_indvary1_step2_batch_yyy07.tgf,none,1200.19,0
2017,argmat-clpb,DS-CO,C/2/afinput_exp_acyclic_indvary2_step2_batch_yyy07.tgf,none,1200.34,0
2017,argmat-clpb,DS-CO,C/2/afinput_exp_cycles_depvary_step4_batch_yyy05.tgf,none,1200.21,0
2017,argmat-clpb,DS-CO,C/2/afinput_exp_cycles_indvary2_step1_batch_yyy01.tgf,none,1200.11,0
2017,argmat-clpb,DS-CO,C/2/bw3.pfile-4-02.pddl.3.cnf.tgf,none,1200.78,0
2017,argmat-clpb,DS-CO,C/2/bw3.pfile-4-02.pddl.4.cnf.tgf,none,1200.45,0
2017,argmat-clpb,DS-CO,C/2/bw3.pfile-4-04.pddl.1.cnf.tgf,none,1200.42,0
2017,argmat-clpb,DS-CO,C/2/bw3.pfile-4-07.pddl.2.cnf.tgf,none,1200.75,0
2017,argmat-clpb,DS-CO,C/2/bw3.pfile-4-07.pddl.3.cnf.tgf,none,1200.77,0
2017,argmat-clpb,DS-CO,C/2/bw3.pfile-4-08.pddl.1.cnf.tgf,none,1199.92,0
2017,argmat-clpb,DS-CO,C/2/champaign-urbana_il_2016-01.gml.50.tgf,none,1200.61,0
2017,argmat-clpb,DS-CO,C/2/grd_10787_3_10.tgf,none,2.81,0
2017,argmat-clpb,DS-CO,C/2/grd_12259_4_5.tgf,none,4.02,0
2017,argmat-clpb,DS-CO,C/2/grd_13496_4_3.tgf,none,4.17,0
2017,argmat-clpb,DS-CO,C/2/grd_14060_1_7.tgf,none,2.27,0
2017,argmat-clpb,DS-CO,C/2/grd_6882_4_9.tgf,none,2.16,0
2017,argmat-clpb,DS-CO,C/2/grd_7708_3_5.tgf,none,2.08,0
2017,argmat-clpb,DS-CO,C/2/omnitrans_20151217_1124.gml.80.tgf,none,1200.79,0
2017,argmat-clpb,DS-CO,C/2/sacramento_2015-12.gml.80.tgf,none,1200.43,0
2017,argmat-clpb,DS-CO,C/2/samtrans_20130704_1259.gml.80.tgf,none,1200.93,0
2017,argmat-clpb,DS-CO,C/2/san_diego_2016-01.gml.50.tgf,none,1200.73,0
2017,argmat-clpb,DS-CO,C/2/scc_1051_30_15_4.tgf,none,1199.11,0
2017,argmat-clpb,DS-CO,C/2/scc_5282_40_10_1.tgf,none,1200.83,0
2017,argmat-clpb,DS-CO,C/2/scc_5305_30_15_4.tgf,none,1200.43,0
