year,solver,track,instances,answer,cpu-time,score
2017,argmat-dvisat,DS-PR,A/2/BA_160_20_3.apx,yes,0,1
2017,argmat-dvisat,DS-PR,A/2/BA_180_20_1.apx,yes,0,1
2017,argmat-dvisat,DS-PR,A/2/BA_200_30_2.apx,yes,0,1
2017,argmat-dvisat,DS-PR,A/2/BA_60_60_3.apx,no,2.38,1
2017,argmat-dvisat,DS-PR,A/2/BA_80_50_1.apx,no,0,1
2017,argmat-dvisat,DS-PR,A/2/ER_200_30_8.apx,no,9.69,1
2017,argmat-dvisat,DS-PR,A/2/ER_200_40_8.apx,no,7.21,1
2017,argmat-dvisat,DS-PR,A/2/ER_400_100_10.apx,no,1.64,1
2017,argmat-dvisat,DS-PR,A/2/ER_400_100_3.apx,no,1.13,1
2017,argmat-dvisat,DS-PR,A/2/ER_400_80_8.apx,no,5.99,1
2017,argmat-dvisat,DS-PR,A/2/WS_200_28_50_70.apx,no,5.41,1
2017,argmat-dvisat,DS-PR,A/2/WS_300_16_70_30.apx,no,43.34,1
2017,argmat-dvisat,DS-PR,A/2/WS_300_16_90_30.apx,no,28.15,1
2017,argmat-dvisat,DS-PR,A/2/WS_300_32_30_70.apx,no,12.39,1
2017,argmat-dvisat,DS-PR,A/2/WS_400_24_30_70.apx,no,13.86,1
2017,argmat-dvisat,DS-PR,A/2/admbuster_10000.apx,yes,5.26,1
2017,argmat-dvisat,DS-PR,A/2/admbuster_20000.apx,no,99.25,1
2017,argmat-dvisat,DS-PR,A/2/admbuster_8000.apx,no,5.8,1
2017,argmat-dvisat,DS-PR,A/2/afinput_exp_acyclic_depvary_step6_batch_yyy05.apx,no,0.42,1
2017,argmat-dvisat,DS-PR,A/2/afinput_exp_cycles_depvary_step4_batch_yyy01.apx,no,0.12,1
2017,argmat-dvisat,DS-PR,A/2/afinput_exp_cycles_depvary_step4_batch_yyy03.apx,no,0.11,1
2017,argmat-dvisat,DS-PR,A/2/afinput_exp_cycles_indvary1_step1_batch_yyy04.apx,no,0.13,1
2017,argmat-dvisat,DS-PR,A/2/afinput_exp_cycles_indvary3_step1_batch_yyy04.apx,no,0.26,1
2017,argmat-dvisat,DS-PR,A/2/bw2.pfile-3-02.pddl.2.cnf.apx,no,0,1
2017,argmat-dvisat,DS-PR,A/2/bw2.pfile-3-08.pddl.2.cnf.apx,no,0,1
2017,argmat-dvisat,DS-PR,A/2/bw3.pfile-3-04.pddl.2.cnf.apx,no,0,1
2017,argmat-dvisat,DS-PR,A/2/commute.org_20140813_1738.gml.20.apx,yes,0,1
2017,argmat-dvisat,DS-PR,A/2/ferry2.pfile-L2-C1-04.pddl.4.cnf.apx,yes,0.56,1
2017,argmat-dvisat,DS-PR,A/2/ferry2.pfile-L2-C3-01.pddl.1.cnf.apx,yes,0,1
2017,argmat-dvisat,DS-PR,A/2/ferry2.pfile-L3-C4-09.pddl.2.cnf.apx,yes,0,1
2017,argmat-dvisat,DS-PR,A/2/go-taps_20150524_1019.gml.20.apx,yes,0,1
2017,argmat-dvisat,DS-PR,A/2/grd_1948_5_1.apx,no,0.1,1
2017,argmat-dvisat,DS-PR,A/2/grd_3018_3_7.apx,no,0.19,1
2017,argmat-dvisat,DS-PR,A/2/grd_3908_2_1.apx,no,0.11,1
2017,argmat-dvisat,DS-PR,A/2/grd_5178_1_1.apx,no,0.18,1
2017,argmat-dvisat,DS-PR,A/2/kanawha-valley-regional-transportation-authority-krt_20150126_1340.gml.20.apx,no,0,1
2017,argmat-dvisat,DS-PR,A/2/scc_1046_50_20_12.apx,no,0.2,1
2017,argmat-dvisat,DS-PR,A/2/scc_1106_70_10_20.apx,no,0.24,1
2017,argmat-dvisat,DS-PR,A/2/scc_1450_40_5_10.apx,no,0.34,1
2017,argmat-dvisat,DS-PR,A/2/scc_1480_60_5_3.apx,no,0.98,1
2017,argmat-dvisat,DS-PR,A/2/scc_387_50_10_19.apx,no,2.7,1
2017,argmat-dvisat,DS-PR,A/2/sembuster_300.apx,no,0,1
2017,argmat-dvisat,DS-PR,A/2/south-metro-area-regional-transit_20151216_1704.gml.20.apx,yes,0,1
2017,argmat-dvisat,DS-PR,A/2/stb_422_250.apx,no,0,1
2017,argmat-dvisat,DS-PR,A/2/stb_428_430.apx,no,14.7,1
2017,argmat-dvisat,DS-PR,A/2/stb_547_485.apx,no,0,1
2017,argmat-dvisat,DS-PR,A/2/stb_657_292.apx,no,47.15,1
2017,argmat-dvisat,DS-PR,A/2/thecomet_20131025_1906.gml.20.apx,no,0,1
2017,argmat-dvisat,DS-PR,A/2/grd_1697_5_7.apx,no,0.04,1
2017,argmat-dvisat,DS-PR,A/2/stb_593_45.apx,no,51.33,1
2017,argmat-dvisat,DS-PR,A/3/BA_100_40_5.apx,no,0,1
2017,argmat-dvisat,DS-PR,A/3/BA_120_50_4.apx,no,0,1
2017,argmat-dvisat,DS-PR,A/3/BA_140_30_3.apx,yes,0,1
2017,argmat-dvisat,DS-PR,A/3/BA_140_30_4.apx,yes,0,1
2017,argmat-dvisat,DS-PR,A/3/BA_160_30_2.apx,no,0,1
2017,argmat-dvisat,DS-PR,A/3/BA_180_30_2.apx,yes,0,1
2017,argmat-dvisat,DS-PR,A/3/BA_180_30_4.apx,no,0,1
2017,argmat-dvisat,DS-PR,A/3/BA_180_30_5.apx,no,0,1
2017,argmat-dvisat,DS-PR,A/3/BA_60_80_1.apx,no,11.67,1
2017,argmat-dvisat,DS-PR,A/3/BA_60_90_4.apx,no,12.45,1
