slover,instance,track,cpu-time,memory,status,score
ConArg,2021/be_7_3_10,CE-PR,601.054,25333352,TIMEOUT,0
ConArg,2021/be_8_5_10,CE-PR,601.008,21255392,TIMEOUT,0
ConArg,2021/e_5_6_8,CE-PR,600.123,3544104,TIMEOUT,0
ConArg,2021/be_8_6_6,CE-PR,600.985,21751800,TIMEOUT,0
ConArg,2021/be_8_2_6,CE-PR,601.504,32772612,TIMEOUT,0
ConArg,2021/be_6_6_8,CE-PR,600.521,11741484,TIMEOUT,0
ConArg,2021/e_7_10_8,CE-PR,601.685,35292236,TIMEOUT,0
ConArg,2021/b_7_8_8,CE-PR,601.061,22388944,TIMEOUT,0
ConArg,2021/e_8_8_7,CE-PR,600.943,20551288,TIMEOUT,0
ConArg,2021/e_5_4_10,CE-PR,600.134,3839396,TIMEOUT,0
ConArg,2021/e_8_2_9,CE-PR,601.674,35797572,TIMEOUT,0
ConArg,2021/b_7_6_9,CE-PR,601.746,40650580,TIMEOUT,0
ConArg,2021/be_9_8_10,CE-PR,600.965,21111844,TIMEOUT,0
ConArg,2021/b_9_2_10,CE-PR,600.895,19767884,TIMEOUT,0
ConArg,2021/e_9_2_7,CE-PR,600.954,20618728,TIMEOUT,0
ConArg,2021/be_7_2_8,CE-PR,600.723,18860232,TIMEOUT,0
ConArg,2021/e_8_3_10,CE-PR,601.009,21605360,TIMEOUT,0
ConArg,2021/b_5_6_10,CE-PR,600.176,4217036,TIMEOUT,0
ConArg,2021/e_6_4_8,CE-PR,600.316,6678160,TIMEOUT,0
ConArg,2021/be_7_10_6,CE-PR,601.095,23143144,TIMEOUT,0
ConArg,2021/b_9_4_6,CE-PR,600.924,20300872,TIMEOUT,0
ConArg,2021/b_5_5_10,CE-PR,600.138,3709836,TIMEOUT,0
ConArg,2021/e_10_7_10,CE-PR,601.073,23711236,TIMEOUT,0
ConArg,2021/be_5_8_10,CE-PR,600.175,4520780,TIMEOUT,0
ConArg,2021/b_9_8_7,CE-PR,600.934,20715976,TIMEOUT,0
ConArg,2021/be_6_2_7,CE-PR,600.283,6520652,TIMEOUT,0
ConArg,2021/be_8_10_7,CE-PR,600.986,21577536,TIMEOUT,0
ConArg,2021/b_10_3_10,CE-PR,601.043,22858404,TIMEOUT,0
ConArg,2021/b_6_6_6,CE-PR,600.593,13476132,TIMEOUT,0
ConArg,2021/be_5_4_6,CE-PR,600.129,3401224,TIMEOUT,0
ConArg,2021/e_9_4_8,CE-PR,600.966,20372648,TIMEOUT,0
ConArg,2021/e_10_3_10,CE-PR,601.023,22578008,TIMEOUT,0
ConArg,2021/b_6_7_10,CE-PR,600.62,14613404,TIMEOUT,0
ConArg,2021/b_5_1_10,CE-PR,600.105,2763228,TIMEOUT,0
ConArg,2021/be_9_6_7,CE-PR,600.927,20668656,TIMEOUT,0
ConArg,2021/e_8_6_9,CE-PR,600.936,20531688,TIMEOUT,0
ConArg,2021/be_6_8_10,CE-PR,600.573,13628844,TIMEOUT,0
ConArg,2021/be_7_10_10,CE-PR,601.904,38187808,TIMEOUT,0
ConArg,2021/be_7_1_10,CE-PR,600.498,17184700,TIMEOUT,0
ConArg,2021/be_9_8_7,CE-PR,600.953,21068544,TIMEOUT,0
ConArg,2021/b_9_6_6,CE-PR,600.963,20249156,TIMEOUT,0
ConArg,2021/e_9_9_10,CE-PR,600.955,20951960,TIMEOUT,0
ConArg,2021/e_5_6_6,CE-PR,600.159,3607496,TIMEOUT,0
ConArg,2021/e_8_4_6,CE-PR,601,20966108,TIMEOUT,0
ConArg,2021/e_10_4_10,CE-PR,601.031,22718080,TIMEOUT,0
ConArg,2021/e_6_2_9,CE-PR,600.228,5326224,TIMEOUT,0
ConArg,2021/be_5_5_10,CE-PR,600.122,3274424,TIMEOUT,0
ConArg,2021/e_9_8_9,CE-PR,600.946,20807716,TIMEOUT,0
ConArg,2021/e_6_6_9,CE-PR,600.372,8200780,TIMEOUT,0
