year,solver,instances,track,cpu-time,memory,status,score
2019,aspartix19,A-1-admbuster_1000.tgf,SE-CO,0.469,2904064,COMPLETED,1
2019,aspartix19,A-1-admbuster_2000.tgf,SE-CO,0.399,2908160,COMPLETED,1
2019,aspartix19,A-1-admbuster_4000.tgf,SE-CO,0.465,2912256,COMPLETED,1
2019,aspartix19,A-1-admbuster_6000.tgf,SE-CO,0.53,2912256,COMPLETED,1
2019,aspartix19,A-1-afinput_exp_acyclic_depvary_step3_batch_yyy01.tgf,SE-CO,0.375,2908160,COMPLETED,1
2019,aspartix19,A-1-afinput_exp_acyclic_indvary1_step5_batch_yyy04.tgf,SE-CO,0.369,2912256,COMPLETED,1
2019,aspartix19,A-1-afinput_exp_acyclic_indvary1_step5_batch_yyy09.tgf,SE-CO,0.371,2908160,COMPLETED,1
2019,aspartix19,A-1-afinput_exp_acyclic_indvary3_step1_batch_yyy10.tgf,SE-CO,0.367,2908160,COMPLETED,1
2019,aspartix19,A-1-BA_120_30_3.tgf,SE-CO,0.364,2899968,COMPLETED,1
2019,aspartix19,A-1-BA_180_10_2.tgf,SE-CO,0.374,2912256,COMPLETED,1
2019,aspartix19,A-1-BA_200_10_5.tgf,SE-CO,0.364,2912256,COMPLETED,1
2019,aspartix19,A-1-BA_40_80_5.tgf,SE-CO,0.37,2904064,COMPLETED,1
2019,aspartix19,A-1-BA_60_70_3.tgf,SE-CO,0.369,2912256,COMPLETED,1
2019,aspartix19,A-1-brookings-or-us.gml.50.tgf,SE-CO,0.369,2899968,COMPLETED,1
2019,aspartix19,A-1-caravan-or-us.gml.80.tgf,SE-CO,0.359,2912256,COMPLETED,1
2019,aspartix19,A-1-ER_100_100_1.tgf,SE-CO,0.401,2908160,COMPLETED,1
2019,aspartix19,A-1-ferry2.pfile-L2-C1-05.pddl.3.cnf.tgf,SE-CO,0.405,2912256,COMPLETED,1
2019,aspartix19,A-1-ferry2.pfile-L2-C1-08.pddl.1.cnf.tgf,SE-CO,0.397,2908160,COMPLETED,1
2019,aspartix19,A-1-ferry2.pfile-L3-C1-04.pddl.2.cnf.tgf,SE-CO,0.397,2912256,COMPLETED,1
2019,aspartix19,A-1-grd_1790_4_8.tgf,SE-CO,0.973,2912256,COMPLETED,1
2019,aspartix19,A-1-grd_2065_1_8.tgf,SE-CO,0.663,2912256,COMPLETED,1
2019,aspartix19,A-1-grd_418_2_9.tgf,SE-CO,0.384,2912256,COMPLETED,1
2019,aspartix19,A-1-grd_489_5_8.tgf,SE-CO,0.433,2912256,COMPLETED,1
2019,aspartix19,A-1-rockland-county-department-of-public-transportation_20121220_2018.gml.20.tgf,SE-CO,0.371,2912256,COMPLETED,1
2019,aspartix19,A-1-stb_190_70.tgf,SE-CO,0.381,2912256,COMPLETED,1
2019,aspartix19,A-1-stb_291_2.tgf,SE-CO,0.396,2904064,COMPLETED,1
2019,aspartix19,A-1-stb_389_42.tgf,SE-CO,0.376,2912256,COMPLETED,1
2019,aspartix19,A-1-stb_437_137.tgf,SE-CO,0.388,2908160,COMPLETED,1
2019,aspartix19,A-2-admbuster_10000.tgf,SE-CO,0.614,2912256,COMPLETED,1
2019,aspartix19,A-2-admbuster_8000.tgf,SE-CO,0.586,2912256,COMPLETED,1
2019,aspartix19,A-2-afinput_exp_acyclic_depvary_step6_batch_yyy05.tgf,SE-CO,4.006,2908160,COMPLETED,1
2019,aspartix19,A-2-afinput_exp_cycles_depvary_step4_batch_yyy01.tgf,SE-CO,2.206,2908160,COMPLETED,1
2019,aspartix19,A-2-afinput_exp_cycles_depvary_step4_batch_yyy03.tgf,SE-CO,2.552,2908160,COMPLETED,1
2019,aspartix19,A-2-afinput_exp_cycles_indvary1_step1_batch_yyy04.tgf,SE-CO,2.216,2912256,COMPLETED,1
2019,aspartix19,A-2-afinput_exp_cycles_indvary3_step1_batch_yyy04.tgf,SE-CO,2.565,2908160,COMPLETED,1
2019,aspartix19,A-2-BA_180_20_1.tgf,SE-CO,0.354,2904064,COMPLETED,1
2019,aspartix19,A-2-BA_200_30_2.tgf,SE-CO,0.375,2899968,COMPLETED,1
2019,aspartix19,A-2-ferry2.pfile-L3-C4-09.pddl.2.cnf.tgf,SE-CO,0.391,2908160,COMPLETED,1
2019,aspartix19,A-2-grd_1697_5_7.tgf,SE-CO,1.043,2908160,COMPLETED,1
2019,aspartix19,A-2-grd_1948_5_1.tgf,SE-CO,1.247,2908160,COMPLETED,1
2019,aspartix19,A-2-grd_3018_3_7.tgf,SE-CO,1.633,2904064,COMPLETED,1
2019,aspartix19,A-2-grd_3908_2_1.tgf,SE-CO,1.981,2912256,COMPLETED,1
2019,aspartix19,A-2-grd_5178_1_1.tgf,SE-CO,1.803,2912256,COMPLETED,1
