solver,instance,semantics,time,mem,status,score
aspartix19,A-1-admbuster_1000.apx,EE-CO,0.483,2916352,COMPLETED,1
aspartix19,A-1-admbuster_2000.apx,EE-CO,0.518,2912256,COMPLETED,1
aspartix19,A-1-admbuster_4000.apx,EE-CO,0.556,2912256,COMPLETED,1
aspartix19,A-1-admbuster_6000.apx,EE-CO,0.602,2908160,COMPLETED,1
aspartix19,A-1-afinput_exp_acyclic_depvary_step3_batch_yyy01.apx,EE-CO,0.382,2908160,COMPLETED,1
aspartix19,A-1-afinput_exp_acyclic_indvary1_step5_batch_yyy04.apx,EE-CO,0.366,2912256,COMPLETED,1
aspartix19,A-1-afinput_exp_acyclic_indvary1_step5_batch_yyy09.apx,EE-CO,0.372,2916352,COMPLETED,1
aspartix19,A-1-afinput_exp_acyclic_indvary3_step1_batch_yyy10.apx,EE-CO,0.418,2908160,COMPLETED,1
aspartix19,A-1-BA_120_30_3.apx,EE-CO,2.828,2916352,COMPLETED,1
aspartix19,A-1-BA_180_10_2.apx,EE-CO,0.382,2908160,COMPLETED,1
aspartix19,A-1-BA_200_10_5.apx,EE-CO,0.428,2912256,COMPLETED,1
aspartix19,A-1-BA_40_80_5.apx,EE-CO,0.928,2908160,COMPLETED,1
aspartix19,A-1-BA_60_70_3.apx,EE-CO,7.306,2908160,COMPLETED,1
aspartix19,A-1-brookings-or-us.gml.50.apx,EE-CO,0.377,2899968,COMPLETED,1
aspartix19,A-1-caravan-or-us.gml.80.apx,EE-CO,0.39,2908160,COMPLETED,1
aspartix19,A-1-ER_100_100_1.apx,EE-CO,0.431,2912256,COMPLETED,1
aspartix19,A-1-ferry2.pfile-L2-C1-05.pddl.3.cnf.apx,EE-CO,0.876,2912256,COMPLETED,1
aspartix19,A-1-ferry2.pfile-L2-C1-08.pddl.1.cnf.apx,EE-CO,0.503,2912256,COMPLETED,1
aspartix19,A-1-ferry2.pfile-L3-C1-04.pddl.2.cnf.apx,EE-CO,1.519,2908160,COMPLETED,1
aspartix19,A-1-grd_1790_4_8.apx,EE-CO,1.059,2912256,COMPLETED,1
aspartix19,A-1-grd_2065_1_8.apx,EE-CO,0.642,2912256,COMPLETED,1
aspartix19,A-1-grd_418_2_9.apx,EE-CO,0.468,3076096,COMPLETED,1
aspartix19,A-1-grd_489_5_8.apx,EE-CO,0.438,2912256,COMPLETED,1
aspartix19,A-1-rockland-county-department-of-public-transportation_20121220_2018.gml.20.apx,EE-CO,0.368,2908160,COMPLETED,1
aspartix19,A-1-stb_190_70.apx,EE-CO,0.372,2899968,COMPLETED,1
aspartix19,A-1-stb_291_2.apx,EE-CO,2.014,2912256,COMPLETED,1
aspartix19,A-1-stb_389_42.apx,EE-CO,0.395,3076096,COMPLETED,1
aspartix19,A-1-stb_437_137.apx,EE-CO,0.406,2912256,COMPLETED,1
aspartix19,A-2-admbuster_10000.apx,EE-CO,0.843,2912256,COMPLETED,1
aspartix19,A-2-admbuster_8000.apx,EE-CO,0.677,2908160,COMPLETED,1
aspartix19,A-2-afinput_exp_acyclic_depvary_step6_batch_yyy05.apx,EE-CO,4.163,2912256,COMPLETED,1
aspartix19,A-2-afinput_exp_cycles_depvary_step4_batch_yyy01.apx,EE-CO,2.309,2908160,COMPLETED,1
aspartix19,A-2-afinput_exp_cycles_depvary_step4_batch_yyy03.apx,EE-CO,2.837,2904064,COMPLETED,1
aspartix19,A-2-afinput_exp_cycles_indvary1_step1_batch_yyy04.apx,EE-CO,2.594,2908160,COMPLETED,1
aspartix19,A-2-afinput_exp_cycles_indvary3_step1_batch_yyy04.apx,EE-CO,2.98,2908160,COMPLETED,1
aspartix19,A-2-BA_180_20_1.apx,EE-CO,3.886,2899968,COMPLETED,1
aspartix19,A-2-BA_200_30_2.apx,EE-CO,3.381,2916352,COMPLETED,1
aspartix19,A-2-ferry2.pfile-L3-C4-09.pddl.2.cnf.apx,EE-CO,3.05,2904064,COMPLETED,1
aspartix19,A-2-grd_1697_5_7.apx,EE-CO,1.202,2912256,COMPLETED,1
aspartix19,A-2-grd_1948_5_1.apx,EE-CO,1.45,2908160,COMPLETED,1
aspartix19,A-2-grd_3018_3_7.apx,EE-CO,2.581,2908160,COMPLETED,1
aspartix19,A-2-grd_3908_2_1.apx,EE-CO,2.341,2912256,COMPLETED,1
aspartix19,A-2-grd_5178_1_1.apx,EE-CO,2.146,2908160,COMPLETED,1
aspartix19,A-2-stb_422_250.apx,EE-CO,12.197,2912256,COMPLETED,1
aspartix19,A-2-stb_428_430.apx,EE-CO,10.7,2908160,COMPLETED,1
aspartix19,A-2-stb_547_485.apx,EE-CO,8.879,2904064,COMPLETED,1
aspartix19,A-2-WS_300_16_70_30.apx,EE-CO,15.291,2908160,COMPLETED,1
aspartix19,A-2-WS_300_16_90_30.apx,EE-CO,9.332,2904064,COMPLETED,1
aspartix19,A-3-afinput_exp_acyclic_depvary_step5_batch_yyy01.apx,EE-CO,3.36,2904064,COMPLETED,1
aspartix19,A-3-afinput_exp_acyclic_depvary_step6_batch_yyy04.apx,EE-CO,3.706,2908160,COMPLETED,1
aspartix19,A-3-afinput_exp_acyclic_indvary2_step2_batch_yyy10.apx,EE-CO,8.498,2908160,COMPLETED,1
aspartix19,A-3-afinput_exp_cycles_depvary_step4_batch_yyy05.apx,EE-CO,5.475,2904064,COMPLETED,1
aspartix19,A-3-afinput_exp_cycles_indvary1_step1_batch_yyy02.apx,EE-CO,4.11,2908160,COMPLETED,1
aspartix19,A-3-afinput_exp_cycles_indvary1_step1_batch_yyy03.apx,EE-CO,3.048,2904064,COMPLETED,1
aspartix19,A-3-afinput_exp_cycles_indvary1_step1_batch_yyy09.apx,EE-CO,4.029,2912256,COMPLETED,1
aspartix19,A-3-afinput_exp_cycles_indvary1_step2_batch_yyy01.apx,EE-CO,4.646,2912256,COMPLETED,1
aspartix19,A-3-afinput_exp_cycles_indvary1_step3_batch_yyy02.apx,EE-CO,3.851,2908160,COMPLETED,1
aspartix19,A-3-afinput_exp_cycles_indvary2_step1_batch_yyy03.apx,EE-CO,5.112,2899968,COMPLETED,1
aspartix19,A-3-afinput_exp_cycles_indvary2_step1_batch_yyy04.apx,EE-CO,5.323,2908160,COMPLETED,1
aspartix19,A-3-afinput_exp_cycles_indvary2_step1_batch_yyy10.apx,EE-CO,5.533,2912256,COMPLETED,1
aspartix19,A-3-bw2.pfile-4-02.pddl.2.cnf.apx,EE-CO,1.815,2912256,COMPLETED,1
aspartix19,A-3-grd_8034_1_2.apx,EE-CO,4.811,2899968,COMPLETED,1
aspartix19,A-4-afinput_exp_acyclic_depvary_step7_batch_yyy08.apx,EE-CO,12.2,2908160,COMPLETED,1
aspartix19,A-4-afinput_exp_acyclic_depvary_step8_batch_yyy09.apx,EE-CO,11.276,2908160,COMPLETED,1
aspartix19,A-4-afinput_exp_acyclic_indvary1_step2_batch_yyy07.apx,EE-CO,13.953,2912256,COMPLETED,1
aspartix19,A-4-grd_7891_3_9.apx,EE-CO,13.953,2904064,COMPLETED,1
aspartix19,B-1-admbuster_1000.apx,EE-CO,0.488,2908160,COMPLETED,1
aspartix19,B-1-admbuster_2000.apx,EE-CO,0.442,2912256,COMPLETED,1
aspartix19,B-1-afinput_exp_acyclic_depvary_step5_batch_yyy08.apx,EE-CO,1.736,2912256,COMPLETED,1
aspartix19,B-1-afinput_exp_acyclic_indvary1_step3_batch_yyy06.apx,EE-CO,0.375,2912256,COMPLETED,1
aspartix19,B-1-afinput_exp_cycles_indvary1_step8_batch_yyy08.apx,EE-CO,0.364,2908160,COMPLETED,1
aspartix19,B-1-BA_100_20_1.apx,EE-CO,0.505,2912256,COMPLETED,1
aspartix19,B-1-BA_120_20_2.apx,EE-CO,0.459,2904064,COMPLETED,1
aspartix19,B-1-BA_40_30_3.apx,EE-CO,0.371,2912256,COMPLETED,1
aspartix19,B-1-BA_40_60_2.apx,EE-CO,0.383,2904064,COMPLETED,1
aspartix19,B-1-BA_40_80_4.apx,EE-CO,0.412,2904064,COMPLETED,1
aspartix19,B-1-ferry2.pfile-L2-C1-02.pddl.2.cnf.apx,EE-CO,0.81,2912256,COMPLETED,1
aspartix19,B-1-ferry2.pfile-L2-C2-06.pddl.2.cnf.apx,EE-CO,0.454,2908160,COMPLETED,1
aspartix19,B-1-grd_156_3_6.apx,EE-CO,0.446,2908160,COMPLETED,1
aspartix19,B-1-grd_1892_1_3.apx,EE-CO,0.592,2912256,COMPLETED,1
aspartix19,B-1-grd_1948_5_1.apx,EE-CO,1.488,2908160,COMPLETED,1
aspartix19,B-1-grd_3018_3_7.apx,EE-CO,2.074,2904064,COMPLETED,1
aspartix19,B-1-massachusetts-archiver_20090912_0208.gml.50.apx,EE-CO,1.139,2912256,COMPLETED,1
aspartix19,B-1-stb_138_162.apx,EE-CO,0.378,2912256,COMPLETED,1
aspartix19,B-1-stb_161_74.apx,EE-CO,0.382,2908160,COMPLETED,1
aspartix19,B-1-stb_199_128.apx,EE-CO,0.368,2912256,COMPLETED,1
aspartix19,B-1-university-of-pretoria_20150805_1406.normalized.gml.80.apx,EE-CO,0.37,2912256,COMPLETED,1
aspartix19,B-2-afinput_exp_acyclic_depvary_step8_batch_yyy09.apx,EE-CO,13.323,2912256,COMPLETED,1
aspartix19,B-2-afinput_exp_acyclic_indvary2_step2_batch_yyy10.apx,EE-CO,8.475,2916352,COMPLETED,1
aspartix19,B-2-afinput_exp_cycles_indvary2_step1_batch_yyy01.apx,EE-CO,8.723,2912256,COMPLETED,1
aspartix19,B-2-afinput_exp_cycles_indvary2_step1_batch_yyy10.apx,EE-CO,5.327,2912256,COMPLETED,1
aspartix19,B-2-BA_140_30_5.apx,EE-CO,5.895,2916352,COMPLETED,1
aspartix19,B-2-comune-di-castellanza_20151218_2338.gml.80.apx,EE-CO,3.705,2916352,COMPLETED,1
aspartix19,B-2-stb_287_202.apx,EE-CO,2.666,2908160,COMPLETED,1
aspartix19,B-2-stb_291_2.apx,EE-CO,2.029,2904064,COMPLETED,1
aspartix19,B-2-stb_330_291.apx,EE-CO,1.835,2908160,COMPLETED,1
aspartix19,B-2-stb_410_118.apx,EE-CO,1.909,2908160,COMPLETED,1
aspartix19,B-2-stb_625_161.apx,EE-CO,0.971,2912256,COMPLETED,1
aspartix19,B-2-WS_200_20_90_50.apx,EE-CO,2.808,2912256,COMPLETED,1
aspartix19,B-3-afinput_exp_acyclic_depvary_step7_batch_yyy08.apx,EE-CO,12.216,2908160,COMPLETED,1
aspartix19,B-3-stb_327_100.apx,EE-CO,30.717,23281664,COMPLETED,1
aspartix19,B-3-stb_339_393.apx,EE-CO,20.097,2908160,COMPLETED,1
aspartix19,B-3-stb_380_405.apx,EE-CO,5.653,3072000,COMPLETED,1
aspartix19,B-3-stb_390_450.apx,EE-CO,6.888,2912256,COMPLETED,1
aspartix19,B-3-stb_428_430.apx,EE-CO,10.367,2912256,COMPLETED,1
aspartix19,B-3-stb_430_209.apx,EE-CO,11.688,2912256,COMPLETED,1
aspartix19,B-3-stb_457_193.apx,EE-CO,8.411,2899968,COMPLETED,1
aspartix19,B-3-stb_522_11.apx,EE-CO,1.472,2912256,COMPLETED,1
aspartix19,B-3-stb_590_330.apx,EE-CO,2.278,2908160,COMPLETED,1
aspartix19,B-3-stb_696_368.apx,EE-CO,6.352,2912256,COMPLETED,1
aspartix19,B-3-stb_696_412.apx,EE-CO,3.658,2908160,COMPLETED,1
aspartix19,B-3-stb_763_492.apx,EE-CO,4.412,2912256,COMPLETED,1
aspartix19,B-3-stb_767_429.apx,EE-CO,2.202,2912256,COMPLETED,1
aspartix19,B-3-WS_300_16_70_30.apx,EE-CO,15.895,2912256,COMPLETED,1
aspartix19,B-3-WS_300_16_90_30.apx,EE-CO,9.277,2908160,COMPLETED,1
aspartix19,B-4-stb_547_485.apx,EE-CO,9.469,2912256,COMPLETED,1
aspartix19,C-1-admbuster_1000.apx,EE-CO,0.388,2912256,COMPLETED,1
aspartix19,C-1-admbuster_10000.apx,EE-CO,0.813,2908160,COMPLETED,1
aspartix19,C-1-admbuster_6000.apx,EE-CO,0.586,2912256,COMPLETED,1
aspartix19,C-1-admbuster_8000.apx,EE-CO,0.663,2912256,COMPLETED,1
aspartix19,C-1-afinput_exp_acyclic_indvary1_step1_batch_yyy08.apx,EE-CO,0.373,2908160,COMPLETED,1
aspartix19,C-1-afinput_exp_acyclic_indvary1_step5_batch_yyy07.apx,EE-CO,0.364,2912256,COMPLETED,1
aspartix19,C-1-afinput_exp_cycles_indvary1_step6_batch_yyy02.apx,EE-CO,0.443,2912256,COMPLETED,1
aspartix19,C-1-BA_120_20_5.apx,EE-CO,0.941,2904064,COMPLETED,1
aspartix19,C-1-BA_60_60_2.apx,EE-CO,0.738,2912256,COMPLETED,1
aspartix19,C-1-BA_80_20_4.apx,EE-CO,0.371,2908160,COMPLETED,1
aspartix19,C-1-bluestar-or-us.gml.20.apx,EE-CO,0.373,2908160,COMPLETED,1
aspartix19,C-1-calaveras-transit_20151216_1707.gml.50.apx,EE-CO,0.645,2904064,COMPLETED,1
aspartix19,C-1-ER_100_100_3.apx,EE-CO,0.425,2908160,COMPLETED,1
aspartix19,C-1-grd_1222_5_4.apx,EE-CO,0.779,2908160,COMPLETED,1
aspartix19,C-1-grd_3018_3_7.apx,EE-CO,2.053,2912256,COMPLETED,1
