year,solver,instances,track,cpu-time,memory,status,score
2019,aspartix19,A-1-admbuster_1000.tgf,SE-PR,0.491,2904064,COMPLETED,1
2019,aspartix19,A-1-admbuster_2000.tgf,SE-PR,0.554,2899968,COMPLETED,1
2019,aspartix19,A-1-admbuster_4000.tgf,SE-PR,0.578,2904064,COMPLETED,1
2019,aspartix19,A-1-admbuster_6000.tgf,SE-PR,0.727,2908160,COMPLETED,1
2019,aspartix19,A-1-afinput_exp_acyclic_depvary_step3_batch_yyy01.tgf,SE-PR,0.382,2912256,COMPLETED,1
2019,aspartix19,A-1-afinput_exp_acyclic_indvary1_step5_batch_yyy04.tgf,SE-PR,0.369,2912256,COMPLETED,1
2019,aspartix19,A-1-afinput_exp_acyclic_indvary1_step5_batch_yyy09.tgf,SE-PR,0.363,2908160,COMPLETED,1
2019,aspartix19,A-1-afinput_exp_acyclic_indvary3_step1_batch_yyy10.tgf,SE-PR,0.367,2899968,COMPLETED,1
2019,aspartix19,A-1-BA_120_30_3.tgf,SE-PR,0.368,2904064,COMPLETED,1
2019,aspartix19,A-1-BA_180_10_2.tgf,SE-PR,0.374,2908160,COMPLETED,1
2019,aspartix19,A-1-BA_200_10_5.tgf,SE-PR,0.374,2908160,COMPLETED,1
2019,aspartix19,A-1-BA_40_80_5.tgf,SE-PR,0.367,2908160,COMPLETED,1
2019,aspartix19,A-1-BA_60_70_3.tgf,SE-PR,0.368,2908160,COMPLETED,1
2019,aspartix19,A-1-brookings-or-us.gml.50.tgf,SE-PR,0.369,2899968,COMPLETED,1
2019,aspartix19,A-1-caravan-or-us.gml.80.tgf,SE-PR,0.368,2904064,COMPLETED,1
2019,aspartix19,A-1-ER_100_100_1.tgf,SE-PR,0.483,2912256,COMPLETED,1
2019,aspartix19,A-1-ferry2.pfile-L2-C1-05.pddl.3.cnf.tgf,SE-PR,0.38,2912256,COMPLETED,1
2019,aspartix19,A-1-ferry2.pfile-L2-C1-08.pddl.1.cnf.tgf,SE-PR,0.368,2908160,COMPLETED,1
2019,aspartix19,A-1-ferry2.pfile-L3-C1-04.pddl.2.cnf.tgf,SE-PR,0.441,2912256,COMPLETED,1
2019,aspartix19,A-1-grd_1790_4_8.tgf,SE-PR,1.349,2908160,COMPLETED,1
2019,aspartix19,A-1-grd_2065_1_8.tgf,SE-PR,0.7,2912256,COMPLETED,1
