,year,instances,totargs,totedges,density,totlayers,totsccs,totntsccs,avgntsize,maxsccsize
0,2015,2015/testset7_scc_small/105005__283_61__0_2_288__1501667607.tgf,283,2147,0.0268077,18,61,55,5.03636,14
1,2015,2015/testset7_scc_small/110153__319_75__0_3_152__-1738801068.tgf,319,2506,0.0246263,24,75,62,4.93548,13
2,2015,2015/testset7_scc_small/118030__334_37__0_7_162__390956103.tgf,334,3296,0.0295457,14,37,36,9.25,17
3,2015,2015/testset7_scc_small/162947__189_100__0_1_800__-2139321847.tgf,189,983,0.0275188,25,100,61,2.45902,9
4,2015,2015/testset7_scc_small/195170__397_76__0_1_14__1011580274.tgf,397,4012,0.0254554,30,76,64,6.01562,14
5,2015,2015/testset7_scc_small/286424__242_98__0_4_496__1553772169.tgf,242,1439,0.0245714,19,98,66,3.18182,13
6,2015,2015/testset7_scc_small/33018__260_52__0_6_28__-2091790553.tgf,260,1878,0.0277811,21,52,45,5.62222,13
7,2015,2015/testset7_scc_small/33735__217_52__0_4_48__1468519206.tgf,217,1663,0.0353161,26,52,40,5.125,17
8,2015,2015/testset7_scc_small/37008__308_6__0_1_1__1700102015.tgf,308,9849,0.103822,4,6,6,51.3333,59
9,2015,2015/testset7_scc_small/37400__332_4__0_1_1__887372887.tgf,332,14513,0.131668,2,4,4,83.0,87
10,2015,2015/testset7_scc_small/38100__318_28__0_1_4__1062613426.tgf,318,3357,0.0331969,10,28,28,11.3571,15
11,2015,2015/testset7_scc_small/41950__379_9__0_2_4__-2085298152.tgf,379,9350,0.0650928,4,9,9,42.1111,55
12,2015,2015/testset7_scc_small/46469__330_28__0_1_2__725501891.tgf,330,3626,0.0332966,13,28,28,11.7857,18
13,2015,2015/testset7_scc_small/47792__332_20__0_3_51__-684630010.tgf,332,4437,0.0402544,8,20,20,16.6,23
14,2015,2015/testset7_scc_small/49594__306_89__0_1_4__-1039493399.tgf,306,2236,0.0238797,24,89,72,4.01389,12
15,2015,2015/testset7_scc_small/520734__379_68__0_8_768__2107883474.tgf,379,3796,0.026427,20,68,58,6.36207,12
16,2015,2015/testset7_scc_small/58982__360_22__0_2_4__-561223781.tgf,360,5332,0.041142,11,22,22,16.3636,26
17,2015,2015/testset7_scc_small/63423__285_21__0_4_180__433734015.tgf,285,3010,0.0370576,9,21,21,13.5714,19
18,2015,2015/testset7_scc_small/65980__360_21__0_2_8__310170226.tgf,360,5298,0.0408796,8,21,21,17.1429,30
