,year,solver,track,instances,cpu-time,memory,totargs,totedges,density,totlayers,totsccs,totntsccs,avgntsize,maxsccsize
0,2019,aspartix19,SE-PR,2019/instances/A-1-admbuster_1000.tgf,0.491,2904064.0,1000,1498,0.001498,1,1000,0,0.0,1
1,2019,coquiaas,SE-PR,2019/instances/A-1-admbuster_1000.tgf,0.322,2883584.0,1000,1498,0.001498,1,1000,0,0.0,1
2,2019,eqargsolver,SE-PR,2019/instances/A-1-admbuster_1000.tgf,0.311,2887680.0,1000,1498,0.001498,1,1000,0,0.0,1
3,2019,mu-toksia,SE-PR,2019/instances/A-1-admbuster_1000.tgf,0.27,2887680.0,1000,1498,0.001498,1,1000,0,0.0,1
4,2019,pyglaf,SE-PR,2019/instances/A-1-admbuster_1000.tgf,0.701,2875392.0,1000,1498,0.001498,1,1000,0,0.0,1
5,2019,taas-dredd,SE-PR,2019/instances/A-1-admbuster_1000.tgf,0.288,2883584.0,1000,1498,0.001498,1,1000,0,0.0,1
6,2019,yonas,SE-PR,2019/instances/A-1-admbuster_1000.tgf,38.908,5306466304.0,1000,1498,0.001498,1,1000,0,0.0,1
7,2019,aspartix19,EE-PR,2019/instances/A-1-admbuster_1000.tgf,0.492,2912256.0,1000,1498,0.001498,1,1000,0,0.0,1
8,2019,coquiaas,EE-PR,2019/instances/A-1-admbuster_1000.tgf,0.313,2887680.0,1000,1498,0.001498,1,1000,0,0.0,1
9,2019,eqargsolver,EE-PR,2019/instances/A-1-admbuster_1000.tgf,0.299,2883584.0,1000,1498,0.001498,1,1000,0,0.0,1
10,2019,mu-toksia,EE-PR,2019/instances/A-1-admbuster_1000.tgf,0.272,2883584.0,1000,1498,0.001498,1,1000,0,0.0,1
11,2019,pyglaf,EE-PR,2019/instances/A-1-admbuster_1000.tgf,0.688,2887680.0,1000,1498,0.001498,1,1000,0,0.0,1
12,2019,taas-dredd,EE-PR,2019/instances/A-1-admbuster_1000.tgf,0.31,2887680.0,1000,1498,0.001498,1,1000,0,0.0,1
13,2019,yonas,EE-PR,2019/instances/A-1-admbuster_1000.tgf,553.595,9671741440.0,1000,1498,0.001498,1,1000,0,0.0,1
